Serial Number,LD,Text,Tint,x_talk
AAA249,2,30.0,45.0,0.10875289689724116
AAA249,1,30.0,45.0,0.5815100403542538
AAA249,2,27.0,45.0,0.2729335813382006
AAA249,1,27.0,45.0,0.6353000802747341
AAA249,2,25.0,45.0,0.17685738252105204
AAA249,1,25.0,45.0,0.6691455242595228
AAA250,2,75.0,45.0,0.06888495047480932
AAA250,1,75.0,45.0,0.13102935356930723
AAA250,2,25.0,45.0,0.15060893948488305
AAA250,1,25.0,45.0,0.1650972213695652
AAA250,2,0.0,45.0,0.18327742347303946
AAA250,1,0.0,45.0,0.4138404643901808
